what,kind,bundleId,bundleVersion,description,time
activated,view,org.erlide.ui,0.15.0.201202052049,"org.erlide.ui.views.navigator.view",1331564307560
closed,editor,org.erlide.ui,0.15.0.201202052049,"org.erlide.ui.editors.erl.ErlangEditor",1331564307560
opened,editor,org.erlide.ui,0.15.0.201202052049,"org.erlide.ui.editors.erl.ErlangEditor",1331564309403
activated,editor,org.erlide.ui,0.15.0.201202052049,"org.erlide.ui.editors.erl.ErlangEditor",1331564309468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331564356157
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331564661592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331564675391
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331564745998
activated,view,org.erlide.ui,0.15.0.201202052049,"org.erlide.ui.views.navigator.view",1331564751877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1331564756985
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331564766942
started,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1331564797060
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1331564797077
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331564832473
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1331564832571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331564845839
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331564895654
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331564908024
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1331564934668
started,bundle,org.eclipse.dltk.core.manipulation,3.0.0.v20110609-1525,"org.eclipse.dltk.core.manipulation",1331564935135
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1331564935208
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1331564935549
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1331564935836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331564936905
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1331564937049
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1331564937049
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331564955857
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331564957727
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331564957980
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1331564958845
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1331564958880
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1331564958895
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1331564958916
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1331564959005
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1331564959018
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1331564959018
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1331564959019
stopped,bundle,org.eclipse.cdt,8.0.2.201202111925,"org.eclipse.cdt",1331564959019
stopped,bundle,org.eclipse.cdt.doc.user,5.1.1.201202111925,"org.eclipse.cdt.doc.user",1331564959020
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1331564959021
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1331564959022
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1331564959023
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1331564959023
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1331564959024
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1331564959030
